RPL12,TEX14,NRG3,HPSE2,PRSS33,KRT15,AGBL4,CFAP299,TPPP3
RPS12,NUP210L,CCSER1,UNC5D,APOA1,S100A2,CFAP299,CDHR3,CFAP276
SNHG29,SNX31,USP53,EBF1,CPE,KRT5,LMNTD1,AGBL4,C20orf85
IFITM3,MAFB,ARHGAP26,LSAMP,PKHD1,MIR205HG,CFAP54,RP1,C9orf24
RPL10,RAB26,DLGAP1,NEBL,PCP4,SFN,DNAH5,DNAH9,CAPS
RPS18,INTS6,SAMD4A,CILP,HPN,DSC3,CDHR3,DNAH11,FAM183A
RPS2,TRIM72,LRP1B,NTRK2,ENSG00000286062,ARHGAP24,CFAP47,CFAP54,ENSG00000258752
RPL29,ENSG00000288957,PDE4D,CHL1,CP,SERPINB5,DTHD1,CFAP47,PIFO
RPS19,POLG2,NPAS3,ENSG00000239268,SERPINE2,ENSG00000226043,CEP126,TMEM232,CETN2
RPS3,LINC01619,PKHD1L1,IL18R1,PTGDS,FRMD6,MAPK10,DNAH12,PIERCE1
RPLP0,TULP2,CRISP3,BAALC,PTPRQ,LYPD3,DNAH9,DNAH7,MORN2
RPL13,CACNG7,KCNMA1,UNC80,WDR72,KCTD8,RP1,DNAH5,CAPSL
RPS5,PRKCG,PLCB1,DACH1,CHI3L1,CALML3,DCDC1,STK33,SNTN
RPS23,NFE2L3,GPC6,LINC02306,MFAP5,TP63,KIAA2012,CFAP157,DYNLL1
RPL18,HEXIM1,ITPR2,NPR3,DEFB1,CSTA,DNAH11,MAPK10,CFAP126
GAS5,SERPINE3,FNDC3B,SLCO5A1,EMID1,HCAR2,ANKFN1,DCDC1,C5orf49
RPL7A,ITGAM,BICD1,ADGRB3,P3H2,GPR87,CFAP46,CFAP43,TXN
RPL8,ENSG00000259001,SGPP2,TMEM178A,AUTS2,C1orf21,TTC29,LINC01091,HOATZ
KRT7,NPHS1,FBXL7,PRSS23,PAM,CDH13,DNAH3,SPAG17,RSPH1
RPL26,LINC00910,SPON1,TNS4,AQP9,IGFBP3,SPAG17,DNAH6,MORN5
RPL18A,ENSG00000288000,ENSG00000248515,DIRAS3,PIK3C2G,SPINK5,NELL2,ULK4,ODF3B
