Rpl12,Tex14,Nrg3,Hpse2,Prss33,Krt15,Agbl4,Cfap299,Tppp3
Rps12,Nup210l,Ccser1,Unc5d,Apoa1,S100a2,Cfap299,Cdhr3,Cfap276
Snhg29,Snx31,Usp53,Ebf1,Cpe,Krt5,Lmntd1,Agbl4,C20orf85
Ifitm3,Mafb,Arhgap26,Lsamp,Pkhd1,Mir205hg,Cfap54,Rp1,C9orf24
Rpl10,Rab26,Dlgap1,Nebl,Pcp4,Sfn,Dnah5,Dnah9,Caps
Rps18,Ints6,Samd4a,Cilp,Hpn,Dsc3,Cdhr3,Dnah11,Fam183a
Rps2,Trim72,Lrp1b,Ntrk2,Ensg00000286062,Arhgap24,Cfap47,Cfap54,Ensg00000258752
Rpl29,Ensg00000288957,Pde4d,Chl1,Cp,Serpinb5,Dthd1,Cfap47,Pifo
Rps19,Polg2,Npas3,Ensg00000239268,Serpine2,Ensg00000226043,Cep126,Tmem232,Cetn2
Rps3,Linc01619,Pkhd1l1,Il18r1,Ptgds,Frmd6,Mapk10,Dnah12,Pierce1
Rplp0,Tulp2,Crisp3,Baalc,Ptprq,Lypd3,Dnah9,Dnah7,Morn2
Rpl13,Cacng7,Kcnma1,Unc80,Wdr72,Kctd8,Rp1,Dnah5,Capsl
Rps5,Prkcg,Plcb1,Dach1,Chi3l1,Calml3,Dcdc1,Stk33,Sntn
Rps23,Nfe2l3,Gpc6,Linc02306,Mfap5,Tp63,Kiaa2012,Cfap157,Dynll1
Rpl18,Hexim1,Itpr2,Npr3,Defb1,Csta,Dnah11,Mapk10,Cfap126
Gas5,Serpine3,Fndc3b,Slco5a1,Emid1,Hcar2,Ankfn1,Dcdc1,C5orf49
Rpl7a,Itgam,Bicd1,Adgrb3,P3h2,Gpr87,Cfap46,Cfap43,Txn
Rpl8,Ensg00000259001,Sgpp2,Tmem178a,Auts2,C1orf21,Ttc29,Linc01091,Hoatz
Krt7,Nphs1,Fbxl7,Prss23,Pam,Cdh13,Dnah3,Spag17,Rsph1
Rpl26,Linc00910,Spon1,Tns4,Aqp9,Igfbp3,Spag17,Dnah6,Morn5
