Upk1a,Gstm2,Aff1,Rhoj,Dpp6,Syne1,Rgs22,Dynlrb2
Thrsp,Rbp1,Lamc2,Klf6,Cyp2s1,Clstn2,Dnah12,1700094D03Rik
Gstt2,Rplp0,Arhgap26,Cebpd,Nek10,Kctd8,Cfap299,Fam183b
Ecrg4,Rpl4,Slc1a3,Selenop,Areg,Gm7361,Agbl4,Mt1
Aldoc,Rps24,Itga6,Egr1,Efhb,Mmp8,Dnah5,Gm19935
Calb1,Rpl23,Trpm3,Samd12,Gm31080,Dnah12,Cfap43,1110017D15Rik
Rhoc,Rpl32,Mir100hg,Msln,Clic6,Cfap43,Cfap61,Vpreb3
Ovgp1,Rplp1,8030431J09Rik,Rps5,Rgs7,Adam8,Dcdc5,Ccdc153
Eno1,Rps3,Fn1,Myof,Marchf4,Scn9a,Rp1,Cfap126
Cbs,Rpl13a,Bmpr1b,Anpep,Sec14l3,Ankfn1,Cdc14a,1700016K19Rik
Vim,Rps8,Slc4a4,Ier3,Lrrc10b,Kcnn3,Ankfn1,Tppp3
Agr2,Gstm1,Rmst,Gucy1a2,Cfap46,Wdr95,Pde4d,Riiad1
Pdia3,Rps5,Rell1,Ifrd1,Crocc2,Myocd,Hydin,Sntn
Fxyd3,Rps11,Mylk,Zfp36,Asb14,Csmd3,Dnah6,Elof1
Ctsb,Rpl14,Sox5,Pde4b,Dnah10,AU041480,Spata17,1700007K13Rik
Marcksl1,Rps4x,Fyb2,Rps14,BC039771,Agbl4,Ccdc162,Fam166c
Manf,Rps3a1,Ncam1,Hbegf,Ankfn1,Gm31160,Ak9,Chchd10
Pdia6,Rps2,Gpcpd1,Junb,Cdc14a,Rgs22,Esrrg,Dynll1
Laptm4a,Rps15,Fat3,Kalrn,Rp1,Ccdc162,Cfap54,Pifo
Emb,Eef1a1,Col23a1,Btg2,Ttc29,Slc23a1,Dnah3,Meig1
Itm2b,Rplp2,Cadps2,Rps3,Efcab11,Dcdc5,Dnah9,Mt2
Txndc17,Ifitm3,Cacna2d3,Rplp1,Rptoros,Caly,Ccdc30,Mt3
S100a16,Rps14,Erbin,F3,Fam161a,Gm5152,Ttc21a,Rsph1
Sec11c,Wfdc18,Lrrc8d,Rpl32,Kcnmb2,Snhg11,Ak7,Prr29
Cd9,Tspan8,Fut2,Slco2a1,Kif27,Gm42722,Spef2,Tuba1a
Dbndd2,Selenop,Plscr1,Fos,Synm,Parm1,Galnt18,Gm29538
Smim14,Eef1b2,Atp13a5,Ppp2r2b,Kndc1,Esrrg,Cdhr4,Hdc
Tmsb4x,Olfml3,Sntb1,Syngr1,Dnaic2,Armc4,Cfap44,3300002A11Rik
