UPK1A,GSTM2,AFF1,RHOJ,DPP6,SYNE1,RGS22,DYNLRB2
THRSP,RBP1,LAMC2,KLF6,CYP2S1,CLSTN2,DNAH12,1700094D03RIK
GSTT2,RPLP0,ARHGAP26,CEBPD,NEK10,KCTD8,CFAP299,FAM183B
ECRG4,RPL4,SLC1A3,SELENOP,AREG,GM7361,AGBL4,MT1
ALDOC,RPS24,ITGA6,EGR1,EFHB,MMP8,DNAH5,GM19935
CALB1,RPL23,TRPM3,SAMD12,GM31080,DNAH12,CFAP43,1110017D15RIK
RHOC,RPL32,MIR100HG,MSLN,CLIC6,CFAP43,CFAP61,VPREB3
OVGP1,RPLP1,8030431J09RIK,RPS5,RGS7,ADAM8,DCDC5,CCDC153
ENO1,RPS3,FN1,MYOF,MARCHF4,SCN9A,RP1,CFAP126
CBS,RPL13A,BMPR1B,ANPEP,SEC14L3,ANKFN1,CDC14A,1700016K19RIK
VIM,RPS8,SLC4A4,IER3,LRRC10B,KCNN3,ANKFN1,TPPP3
AGR2,GSTM1,RMST,GUCY1A2,CFAP46,WDR95,PDE4D,RIIAD1
PDIA3,RPS5,RELL1,IFRD1,CROCC2,MYOCD,HYDIN,SNTN
FXYD3,RPS11,MYLK,ZFP36,ASB14,CSMD3,DNAH6,ELOF1
CTSB,RPL14,SOX5,PDE4B,DNAH10,AU041480,SPATA17,1700007K13RIK
MARCKSL1,RPS4X,FYB2,RPS14,BC039771,AGBL4,CCDC162,FAM166C
MANF,RPS3A1,NCAM1,HBEGF,ANKFN1,GM31160,AK9,CHCHD10
PDIA6,RPS2,GPCPD1,JUNB,CDC14A,RGS22,ESRRG,DYNLL1
LAPTM4A,RPS15,FAT3,KALRN,RP1,CCDC162,CFAP54,PIFO
EMB,EEF1A1,COL23A1,BTG2,TTC29,SLC23A1,DNAH3,MEIG1
ITM2B,RPLP2,CADPS2,RPS3,EFCAB11,DCDC5,DNAH9,MT2
TXNDC17,IFITM3,CACNA2D3,RPLP1,RPTOROS,CALY,CCDC30,MT3
S100A16,RPS14,ERBIN,F3,FAM161A,GM5152,TTC21A,RSPH1
SEC11C,WFDC18,LRRC8D,RPL32,KCNMB2,SNHG11,AK7,PRR29
CD9,TSPAN8,FUT2,SLCO2A1,KIF27,GM42722,SPEF2,TUBA1A
DBNDD2,SELENOP,PLSCR1,FOS,SYNM,PARM1,GALNT18,GM29538
SMIM14,,ATP13A5,PPP2R2B,KNDC1,ESRRG,CDHR4,HDC
TMSB4X,,SNTB1,SYNGR1,DNAIC2,ARMC4,CFAP44,3300002A11RIK
PPIB,,SH3PXD2A,NAALADL2,GALNT18,PRICKLE2,VWA3A,CALM1
