regulation of response to stress,regulation of response to wounding,positive regulation of signal transduction by p53 class mediator,muscle contraction,detoxification of copper ion,immune response,hallmark inflammatory response,epithelium development,tissue development,cell adhesion,cell migration,response to stimulus,cellular response to stress,regulation of growth,regulation of cell population proliferation,intermediate filament cytoskeleton organization,S,G2/M ,G2/M transition of mitotic cell cycle,cell cycle G1/S phase transition,detection of mechanical stimulus,ATP-dependent chromatin remodeler activity,Cytoskeleton,P53 Pathway,Apoptosis,Inflamation
ACTG1,PDGFB,SPRED1,SMPX,MT4,RFX1,ABCA1,SMAD2,AMELY,CNTNAP3C,CD99,MT-ND1,BRME1,N6AMT1,IL3RA,BFSP1,MCM5,MGB2,BRSK2,LATS2,CDH2,CHD6,MAFIP,ABAT,ADD1,ABCA1
STING1,CPB2,PMAIP1,ADRA1A,MT2A,IL27RA,ABI1,BMP2,TSPY4,CD99,USP9Y,MT-ND2,PRKACA,SLC23A2,CRLF2,ATP8A2,PCNA,CDK1,FBXL7,MNAT1,PKDREJ,CECR2,CC2D1A,ABCC5,AIFM3,ABI1
COLEC12,STK24,MSX1,ATP8A2,MT1E,IL9R,ACVR1B,SOX18,TSPY8,NLGN4Y,CXADR,MT-CO1,GCGR,DSCAM,CSF2RA,NEFM,TYMS,NUSAP1,MELK,CCNB2,SCN11A,CHD8,TMSB4Y,ABHD4,ANKH,ACVR1B
YES1,TAFA5,EEF1E1,JSRP1,MT1M,STING1,ACVR2A,SALL4,TSPY3,PCDH11Y,JAM2,MT-CO2,PEX5,SPART,IL9R,SOD1,FEN1,UBE2C,PKMYT1,ID4,PKD1L2,ERCC6,CPLANE2,ACVR1B,ANXA1,ACVR2A
IPO5,SRSF6,EEF1E1-BLOC1S5,MKKS,MT1A,IGHV1OR21-1,ADM,SIX1,TSPY1,ACTG1,YES1,MT-ATP6,DNAJC15,CDH4,PRAMEF11,KRT76,MCM2,BIRC5,AURKA,BCAT1,TMC1,SMARCA1,ACTG1,ADA,APP,ADM
OSM,CLEC7A,PML,LTB4R,MT1B,C1R,ADORA2B,MSX1,TSPY9,CXADR,POU4F1,MT-ND3,BACH1,NDRG3,PRAMEF2,KRT2,MCM4,TPX2,BRSK1,CCNB3,TMC2,INO80,WASF3,ADCK3,ATF3,ADORA2B
DYRK1A,TMX1,RPS7,SULF1,MT1F,C1RL,ADRM1,SDC4,TSPY10,JAM2,SPATA13,MT-ND4,UFM1,CPNE6,PRAMEF4,NEFH,RRM1,TOP2A,MASTL,BCL2,COL11A1,SMARCAD1,YES1,AEN,AVPR1A,ADRM1
FOXO1,CRK,EIF5A,MYLK2,MT1X,MORC3,AHR,SMAD6,TSPY2,CLDN17,SMAD2,MT-ND5,RFC3,SIX1,PRAMEF10,KRT1,UNG,NDC80,LATS1,CCNO,CTNNB1,CHD7,AKAP11,AK1,BAX,AHR
SHLD1,NEO1,ANKRD1,MYOF,MT1H,COLEC12,APLNR,SLIT2,POSTN,CLSTN3,CDH7,MT-CYB,RNF152,LATS2,PRAMEF7,BBLN,GINS2,CKS2,CALM3,CUL4A,STRC,SMARCA2,MZT1,ALOX15B,BCAP31,APLNR
PTPN2,RTN4R,RPL26,HCN4,MT3,TOLLIP,AQP9,NDP,ETS2,NCAM2,CDH20,BRME1,BRSK2,SIX4,PRAMEF6,EVPLL,MCM6,NUF2,KDM8,CACUL1,PKD1L1,CHD2,RALBP1,ANKRA2,BCL10,AQP9
CST7,CD109,ATR,GRIP2,ATP7A,OSM,ATP2A2,MEOX2,NDUFV2,CLDN8,INSM1,RFX1,FOXO1,MSX1,PRAMEF27,BFSP2,CDCA7,CKS1B,CCNA2,TRIM71,LHFPL5,RSF1,PIBF1,APAF1,BCL2L1,ATP2A2
SETD4,EMILIN2,ZNHIT1,CKMT2,MT1HL1,LIF,ATP2B1,BMP4,SCEL,POSTN,CDH19,IL27RA,ANGPT4,TP53TG5,PRAMEF25,KRT77,DTL,MKI67,KAT14,PPP3CA,PHF24,CHD1,KLHL1,APP,BCL2L10,ATP2B1
SLC19A1,FOXC2,RPS15,LARGE1,MT1G,DEFB125,ATP2C1,FOXC1,POU4F1,FNDC3A,SOX1,PALM3,SHLD1,CCNB2,PRAMEF26,INA,PRIM1,TMPO,PLK1,CCNA1,BACE1,SMARCA5,SS18,ATF3,BCL2L11,ATP2C1
PDGFB,CNTF,RPS20,GAA,PARK7,DEFB128,AXL,CAT,SMAD2,FREM2,IRS2,PRKACA,CBS,GDF2,PRAMEF9,NEFL,UHRF1,CENPF,ARPP19,CCNG2,FYN,CHD3,CFAP298,BAIAP2,BCL2L2,AXL
CPB2,ENPP4,HIC1,CHRNB1,,DEFB126,BDKRB1,ALDH1A2,LIF,OLFM4,FLT3,IL3RA,GTSE1,CDKL5,PRAMEF13,KLHL24,MLF1IP,TACC3,FBXL15,CCNE1,WHRN,SMARCA4,SKA1,BAK1,BGN,BDKRB1
CD226,F7,RPL11,EDNRB,,CST7,BEST1,BCL2,BMP2,CDH7,PDGFB,IL9R,IMPACT,RNF6,PRAMEF18,FAM83H,HELLS,FAM64A,CDK14,RB1,TMEM87A,RAD54L2,SPRY2,BAX,BID,BEST1
TFIP11,KREMEN1,DDX5,TNNC2,,MBP,BST2,FA2H,INSM1,PCDH17,FAM83D,GCGR,NCOA6,GDF5,PRAMEF5,EPPK1,RFC2,SMC4,WNT10B,LATS1,PKD2L2,MYD88,CCDC68,BLCAP,BIK,BST2
PTGIS,ADAMTS18,HEXIM1,DTNA,,DEFB127,BTG2,DSC1,TFIP11,CDH20,CDH22,ARHGEF19,TRIM13,ATP8A2,PRAMEF8,KRT33A,RPA2,CCNB2,CHEK2,CCNA2,HPN,CHD4,BRSK2,BMP2,BIRC3,BTG2
ADORA2A,AJAP1,ING4,TPM2,,DEFB115,C3AR1,FOXC2,SGCG,CDH19,TSPO,LRP6,WDR4,SLIT2,PRAMEF33,KRT33B,NASP,CKAP2L,ABCB1,CDK6,HTR2A,CHD1L,BOD1L2,BTG1,BMF,C3AR1
GGT1,PRKCE,CDKN2A,TMOD3,,CST9L,C5AR1,ZIC3,AMELX,COL18A1,LCP1,STING1,TSPO,SEMA5A,PRAMEF22,KRT31,RAD51AP1,CKAP2,PPME1,CUL4B,PKD1L3,CHD5,DYRK1A,BTG2,BMP2,C5AR1
HTR2A,KRT1,RPL37,TACR1,,WFDC9,CALCRL,TFAP2B,SOX18,SLC23A2,PREX1,CXADR,TFIP11,JADE3,MORC3,KRT37,GMNN,AURKB,SKP2,CCNF,ITGA2,,TPGS2,CASP1,BNIP3L,CALCRL
GRPR,CADM4,UBB,SLC6A8,,WFDC10A,CCL17,OSR1,SPART,CDH22,GAS6,IGHV1OR21-1,PTGIS,JARID2,PAXBP1,KRT34,WDR76,BUB1,PLCB1,RHOU,JUP,,EFCAB6,CCND2,BRCA1,CCL17
STK24,PLAUR,MYC,SNTB1,,TRIM13,CCL2,EYA1,SALL4,CD226,PRKX,C1R,RBM11,NRP1,SS18,EVPL,SLBP,KIF11,CDC25C,PPP6C,KCNA1,,FAM110A,CCND3,BTG2,CCL2
TAFA5,SERPINE1,PPP1R15A,KCND2,,WFDC11,CCL20,HES5,TWSG1,GAS6,SHROOM2,C1RL,BIVM-ERCC5,MKKS,BTG3,KRT12,CCNE2,ANP32E,UBE2A,CDK4,PTPRQ,,GTSE1,CCNG1,BTG3,CCL20
MAPK1,REG3G,EPRS1,EDNRA,,CD226,CCL22,AQP11,SGCZ,PRKX,GPR183,PEX5,GAS6,PTK6,SPRY2,KRT20,UBR7,TUBB4B,CDC25B,RBBP8,KCNK2,,BFSP1,CCNK,CASP1,CCL22
SPRED1,PTEN,ZNF385A,MYH13,,RFPL3,CCL24,RARG,EBF2,AMELX,SOX18,MORC3,NUDT15,INSR,RIPPLY3,KRT23,POLD3,GTSE1,WEE1,CCNI2,KCNQ1,,DSTN,CCP110,CASP2,CCL24
PMAIP1,TMEM97,CDK5RAP3,MYH8,,CST3,CCL5,SNAI2,STC1,SPECC1L,CDH4,OR4C12,HMGN1,PML,GAREM1,KRT39,MSH2,KIF20B,TAF2,CCNJ,KIT,,TRIOBP,CD81,CASP3,CCL5
RAD51,VTN,RPL23,NKX2-5,,GPR183,CCL7,GDF7,SIX1,ANOS1,CARMIL3,OR4C45,SRPX,CRK,OSM,KRT40,ATAD2,HJURP,MTA3,CDC7,ASIC2,,TUBGCP3,CD82,CASP4,CCL7
APOBEC3F,CD36,PYHIN1,MYH4,,IGHV1OR15-1,CCR7,TRIM71,GJB6,NLGN4X,NFATC2,DNAJC15,STK24,CSNK2A3,ZBTB7C,NDEL1,RAD51,CDCA3,CDK1,PHF8,MYC,,MTCL2,CDH13,CASP6,CCR7
APOBEC3G,UBASH3B,ATM,MYH1,,TRDJ1,CCRL2,KRT1,GATA5,DSCAM,EGR3,COLEC12,MAPK1,GHR,SLC7A1,MTM1,RRM2,HN1,CALM1,CCNE2,NTRK1,,FAM83D,CDK5R1,CASP7,CCRL2
TAB1,SERPINF2,SPRED2,DRD1,,TRDV2,CD14,ITPK1,SIX4,SRPX,LAMA5,POSTN,MTMR3,AKAP6,LIF,CLN8,CDC45,CDC20,USH1C,SKP2,PJVK,,TRPC4,CDKN1A,CASP8,CD14
RNF31,PLAU,PLA2R1,TNNI2,,TRDD1,CD40,WDPCP,MSX1,TMEM47,SIX1,RAB31,TMTC4,FOXC1,FOXO1,VPS54,CDC6,TTK,ENSA,CCND2,KCNK4,,LCP1,CDKN2A,CASP9,CD40
MSX1,SLC12A2,CHD5,MYH2,,RGCC,CD48,INTU,SDC4,CDH4,CDH2,BACH1,NFATC2,FGF9,ADRA1D,KRT24,EXO1,CDC25C,CCNB1,CDC34,PECAM1,,SGCG,CDKN2AIP,CAV1,CD48
